ID,Ime,TrznaVrednost,Starost,Visina,Drzavljanstvo,MocnejsaNoga,Liga
84938,Timo Horn,4.0,28,192,Germany,left,L1
85148,Julian Draxler,20.0,27,185,Germany,right,FR1
85177,Nathaniel Clyne,3.0,30,175,England,right,GB1
85258,Mikel Balenziaga,1.2,33,177,Spain,left,ES1
85288,Isco,18.0,29,176,Spain,right,ES1
85295,Iván Balliu,1.0,29,172,Albania,right,ES1
85370,Sergi Roberto,18.0,29,178,Spain,right,ES1
85383,Rubén Sobrino,1.5,29,185,Spain,right,ES1
85475,Federico Fernández,3.0,32,190,Argentina,right,GB1
85528,Marco Silvestri,9.0,30,191,Italy,right,IT1
85543,Niklas Lomb,0.25,28,186,Germany,right,L1
85789,Martin Hinteregger,18.0,28,184,Austria,left,L1
85791,Stefan Lainer,12.5,28,175,Austria,right,L1
85864,Loris Karius,2.0,28,191,Germany,right,GB1
85867,Nico Schulz,6.0,28,180,Germany,left,L1
85906,Danny da Costa,6.0,28,187,Germany,right,L1
85941,Stefan Ortega,6.0,28,185,Germany,right,L1
86202,Antonio Rüdiger,28.0,28,190,Germany,right,GB1
86784,Ricardo Rodríguez,2.0,28,180,Switzerland,left,IT1
86792,Xherdan Shaqiri,12.0,29,169,Switzerland,left,GB1
87469,Cote,1.5,31,182,Spain,left,ES1
87884,Mário Rui,8.0,30,168,Portugal,left,IT1
88103,James Rodríguez,28.0,30,181,Colombia,left,GB1
88262,Dedryck Boyata,8.0,30,188,Belgium,right,L1
88490,Aleix Vidal,2.0,32,177,Spain,right,ES1
88682,Mattia De Sciglio,7.5,28,183,Italy,right,IT1
88683,Mattia Destro,2.5,30,182,Italy,right,IT1
88706,Simone Romagnoli,1.2,31,193,Italy,right,IT1
88755,Kevin De Bruyne,100.0,30,181,Belgium,right,GB1
88909,Riccardo Saponara,1.7,29,184,Italy,right,IT1
89086,Aleksandr Kokorin,3.5,30,184,Russia,right,IT1
89231,Jóhann Berg Gudmundsson,3.0,30,186,Iceland,left,GB1
89297,Rodrigo Battaglia,4.0,30,187,Argentina,right,ES1
89592,Marvin Plattenhardt,4.0,29,181,Germany,left,L1
89701,Charles Aránguiz,6.0,32,171,Chile,right,L1
89733,Álex Fernández,6.0,28,183,Spain,right,ES1
90024,Alfred Finnbogason,1.2,32,184,Iceland,right,L1
90451,Iván Marcone,3.0,31,182,Argentina,right,ES1
90466,Gylfi Sigurdsson,13.0,31,186,Iceland,right,GB1
91059,Joshua King,8.0,29,187,Norway,right,GB1
91317,Ashley Westwood,5.0,31,174,England,right,GB1
91473,Florent Ogier,0.7,32,183,France,right,FR1
91596,Anthony Taugourdeau,0.3,32,182,France,right,IT1
91845,Heung-min Son,85.0,29,184,"Korea, South",both,GB1
91849,Thomas Delaney,15.0,29,182,Denmark,left,L1
